symbol,status,type,distance_pct,trend,ltp,virgin_level,pivot,tc,bc,width_pct,width_percentile,narrow_threshold_pct,days_virgin,source_date,session_date,is_virgin,is_narrow,narrow_percentile_used,scanned_at
LALPATHLAB,1734.70,TOUCHED,-0.56,below,1725.0,1734.7,1738.0,1741.3,1734.7,0.38,48.8,0.044,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
RELIANCE,1295.97,TOUCHED,-0.1,inside,1294.7,1295.97,1295.97,1297.45,1294.48,0.229,48.8,0.027,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
ICICIAMC,3173.60,TOUCHED,-0.93,below,3144.0,3173.6,3181.4,3189.2,3173.6,0.49,48.9,0.026,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
DABUR,435.06,TOUCHED,-0.68,below,432.1,435.06,435.67,436.28,435.06,0.279,49.3,0.033,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
COLPAL,2014.93,TOUCHED,-0.04,inside,2014.2,2014.93,2014.93,2018.05,2011.82,0.309,49.6,0.024,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
RADICO,4076.40,TOUCHED,0.09,above,4080.1,4076.4,4068.0,4076.4,4059.6,0.413,49.9,0.021,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
GMDCLTD,591.73,TOUCHED,0.76,above,596.2,591.73,589.82,591.73,587.91,0.647,50.1,0.058,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
RITES,223.05,TOUCHED,0.18,inside,223.46,223.05,223.05,223.5,222.6,0.403,50.1,0.025,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
CPPLUS,3655.25,TOUCHED,1.27,above,3701.7,3655.25,3644.43,3655.25,3633.62,0.594,50.4,0.037,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
HINDZINC,529.06,TOUCHED,-0.24,below,527.8,529.06,530.22,531.38,529.06,0.437,50.4,0.038,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
IDEA,13.87,TOUCHED,-1.87,below,13.61,13.87,13.91,13.95,13.87,0.575,50.4,0.046,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
ITI,287.24,TOUCHED,-0.85,below,284.8,287.24,287.93,288.62,287.24,0.48,50.7,0.035,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
SAMMAANCAP,161.92,TOUCHED,0.83,above,163.26,161.92,161.44,161.92,160.97,0.588,50.7,0.039,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
OIL,438.42,TOUCHED,-0.31,below,437.05,438.42,439.32,440.21,438.42,0.406,52.1,0.025,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
PRESTIGE,1698.05,TOUCHED,-0.79,below,1684.6,1698.05,1702.5,1706.95,1698.05,0.523,52.1,0.055,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
TEJASNET,548.00,TOUCHED,0.38,above,550.1,548.0,546.42,548.0,544.83,0.58,52.1,0.042,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
IOB,33.81,TOUCHED,-0.01,inside,33.81,33.81,33.81,33.88,33.75,0.394,52.3,0.034,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
LICI,437.27,TOUCHED,0.52,above,439.55,437.27,436.65,437.27,436.02,0.286,52.3,0.032,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
NESTLEIND,1429.27,TOUCHED,-0.16,below,1427.0,1429.27,1431.43,1433.6,1429.27,0.303,52.3,0.032,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
ZYDUSLIFE,1139.15,TOUCHED,1.57,above,1157.0,1139.15,1137.3,1139.15,1135.45,0.325,52.3,0.024,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
ACUTAAS,3492.50,TOUCHED,1.64,above,3549.7,3492.5,3481.57,3492.5,3470.63,0.628,52.6,0.036,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
SAPPHIRE,182.42,TOUCHED,-0.19,below,182.07,182.42,182.93,183.45,182.42,0.565,52.6,0.045,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
PINELABS,156.39,TOUCHED,0.3,above,156.86,156.39,155.87,156.39,155.34,0.676,53.0,0.052,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
3MINDIA,36345.00,TOUCHED,-1.13,below,35935.0,36345.0,36410.0,36475.0,36345.0,0.357,53.2,0.029,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
RECLTD,350.97,TOUCHED,0.15,inside,351.5,350.97,350.97,351.71,350.23,0.423,53.2,0.016,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
NATIONALUM,362.05,TOUCHED,-0.18,below,361.4,362.05,363.0,363.95,362.05,0.523,53.4,0.036,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
HDBFS,746.22,TOUCHED,0.13,inside,747.2,746.22,746.22,747.38,745.06,0.31,53.5,0.021,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
CAMS,768.23,TOUCHED,-0.37,below,765.35,768.23,770.0,771.77,768.23,0.461,54.0,0.049,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
TTML,40.80,TOUCHED,-0.14,inside,40.74,40.8,40.8,40.89,40.7,0.458,54.0,0.046,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
COROMANDEL,2060.70,TOUCHED,-0.2,inside,2056.6,2060.7,2060.7,2066.15,2055.25,0.529,54.2,0.04,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
TORNTPOWER,1454.50,TOUCHED,-0.57,below,1446.2,1454.5,1458.1,1461.7,1454.5,0.494,54.5,0.035,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
UNITDSPR,1378.85,TOUCHED,-0.25,below,1375.4,1378.85,1381.33,1383.82,1378.85,0.36,54.5,0.035,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
BBTC,1500.52,TOUCHED,-0.03,below,1500.0,1500.52,1503.63,1506.75,1500.52,0.415,54.8,0.036,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
NAVINFLUOR,7625.67,TOUCHED,-0.14,inside,7615.0,7625.67,7625.67,7645.5,7605.83,0.52,54.8,0.046,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
PIRAMALFIN,2159.38,TOUCHED,-0.06,below,2158.0,2159.38,2165.87,2172.35,2159.38,0.599,55.6,0.049,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
ABLBL,97.50,TOUCHED,-0.33,below,97.18,97.5,97.76,98.02,97.5,0.532,55.7,0.054,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
FINCABLES,1037.77,TOUCHED,-0.03,inside,1037.5,1037.77,1037.77,1040.3,1035.23,0.488,55.9,0.019,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
CAPLIPOINT,2651.77,TOUCHED,0.27,above,2659.0,2651.77,2645.13,2651.77,2638.5,0.502,56.2,0.037,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
HEXT,563.93,TOUCHED,0.15,above,564.75,563.93,562.17,563.93,560.41,0.626,56.2,0.046,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
TATACHEM,703.74,TOUCHED,-0.75,below,698.45,703.74,705.23,706.73,703.74,0.423,56.4,0.02,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
POWERGRID,284.62,TOUCHED,-1.34,below,280.8,284.62,285.13,285.64,284.62,0.357,57.0,0.019,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
ENGINERSIN,230.13,TOUCHED,0.09,inside,230.35,230.13,230.13,230.86,229.41,0.632,57.3,0.038,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
JIOFIN,237.02,TOUCHED,-0.13,inside,236.71,237.02,237.02,237.54,236.5,0.443,57.5,0.02,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
ELGIEQUIP,571.93,TOUCHED,-0.02,below,571.8,571.93,573.5,575.08,571.93,0.549,58.1,0.04,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
EIDPARRY,776.92,TOUCHED,0.39,above,779.95,776.92,774.83,776.92,772.75,0.538,58.4,0.042,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
ADANIENSOL,1675.25,TOUCHED,-0.07,below,1674.0,1675.25,1680.27,1685.28,1675.25,0.597,58.9,0.03,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
ANANTRAJ,575.74,TOUCHED,-0.54,below,572.65,575.74,577.83,579.92,575.74,0.724,58.9,0.087,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
UPL,591.89,TOUCHED,0.53,above,595.05,591.89,590.63,591.89,589.38,0.426,58.9,0.02,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
APOLLOTYRE,426.84,TOUCHED,-0.21,below,425.95,426.84,427.83,428.82,426.84,0.464,59.2,0.04,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
AEGISLOG,1233.85,TOUCHED,6.88,above,1318.8,1233.85,1230.07,1233.85,1226.28,0.615,59.5,0.033,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
LEMONTREE,115.17,TOUCHED,-0.92,below,114.11,115.17,115.47,115.78,115.17,0.528,59.5,0.029,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
RAINBOW,1480.75,TOUCHED,1.37,above,1501.0,1480.75,1477.4,1480.75,1474.05,0.453,59.5,0.032,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
BLUEJET,607.99,TOUCHED,-1.47,below,599.05,607.99,610.48,612.98,607.99,0.816,59.7,0.037,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
HDFCBANK,812.70,TOUCHED,0.38,above,815.75,812.7,811.6,812.7,810.5,0.271,59.7,0.02,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
MOTILALOFS,970.22,TOUCHED,-0.3,below,967.35,970.22,973.43,976.65,970.22,0.661,59.7,0.045,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
BAJAJFINSV,1872.80,TOUCHED,-1.31,below,1848.3,1872.8,1876.4,1880.0,1872.8,0.384,60.0,0.02,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
FEDERALBNK,328.16,TOUCHED,-0.14,below,327.7,328.16,328.82,329.47,328.16,0.4,60.0,0.026,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
HEROMOTOCO,4889.40,TOUCHED,-0.31,below,4874.0,4889.4,4900.5,4911.6,4889.4,0.453,60.3,0.017,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
PCBL,319.78,TOUCHED,-0.92,below,316.85,319.78,320.67,321.55,319.78,0.551,60.3,0.05,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
UNIONBANK,170.21,TOUCHED,1.5,above,172.76,170.21,169.76,170.21,169.3,0.538,60.3,0.047,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
INOXWIND,79.84,TOUCHED,0.13,above,79.94,79.84,79.57,79.84,79.31,0.658,60.5,0.041,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
TIMKEN,3170.00,TOUCHED,0.24,above,3177.5,3170.0,3161.6,3170.0,3153.2,0.531,60.5,0.05,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
ANANDRATHI,2085.42,TOUCHED,-0.09,below,2083.5,2085.42,2090.03,2094.65,2085.42,0.442,60.8,0.023,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
AXISBANK,1313.30,TOUCHED,-0.15,inside,1311.3,1313.3,1313.3,1315.45,1311.15,0.327,61.1,0.024,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
BANKBARODA,247.82,TOUCHED,0.15,inside,248.2,247.82,247.82,248.42,247.21,0.491,61.6,0.012,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
IFCI,74.81,TOUCHED,-0.82,below,74.2,74.81,75.1,75.4,74.81,0.777,61.6,0.102,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
